City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Rio Grande,BR,64.0,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
415,Mezcala,MX,63.79,few clouds,20.93,-102.75,HACIENDA LA CONCEPCIÓN
417,Almaznyy,RU,57.2,scattered clouds,48.04,40.05,
420,Kamaishi,JP,53.6,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
421,Marsh Harbour,BS,79.3,clear sky,26.54,-77.06,Abaco Beach Resort
422,Sarai Naurang,PK,75.97,clear sky,32.83,70.78,Zargar ice Factory
424,Otane,NZ,67.82,scattered clouds,-39.88,176.63,Ludlow Farmstay
425,Lasa,IT,52.0,mist,46.62,10.7,Pension Feldgärtenhof
427,Linhares,BR,70.47,light rain,-19.39,-40.07,Hotel Conceição
429,Santa Isabel Do Rio Negro,BR,74.12,light rain,-0.41,-65.02,Hotel GSA
430,Ankazoabo,MG,70.38,clear sky,-22.28,44.52,
431,Fukue,JP,60.8,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
432,Loandjili,CG,76.24,light rain,-4.76,11.86,Résidence ARCHANGE
436,Ambilobe,MG,70.66,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
439,Esmeraldas,BR,66.2,broken clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
441,Kasongo-Lunda,CD,69.89,light rain,-6.47,16.82,
442,Tucuman,AR,75.2,overcast clouds,-26.82,-65.22,Dallas Hotel Tucuman
443,Rosarito,MX,66.0,broken clouds,32.33,-117.03,Hotel Festival Plaza Rosarito
444,Murray Bridge,AU,55.0,broken clouds,-35.12,139.27,Balcony On Sixth Lodge
446,San Jose De Guanipa,VE,76.32,very heavy rain,8.89,-64.17,HOTEL 283 SUITES
450,Hami,CN,58.41,clear sky,42.8,93.45,Laoyutang Resort
452,Rio Hondo,GT,72.03,light rain,15.07,-89.58,Hotel Rio
453,Zhoucun,CN,66.0,clear sky,36.82,117.82,Zibo Changxin Hotel
456,Mao,ES,66.2,clear sky,39.89,4.27,ARTIEM Capri
460,Warwick,US,57.99,few clouds,41.7,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
465,Takoradi,GH,76.64,broken clouds,4.88,-1.76,Raybow International Hotel
467,Porto Santo,PT,66.2,few clouds,33.07,-16.34,Hotel Porto Santo & Spa
468,Shingu,JP,66.2,broken clouds,33.73,135.98,Shingu UI Hotel
469,Lashio,MM,75.51,overcast clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
470,Dimapur,IN,71.6,moderate rain,25.9,93.73,Jungjung Homestay
471,Skibbereen,IE,53.6,moderate rain,51.55,-9.27,The West Cork Hotel
472,Mayo,US,66.2,clear sky,38.89,-76.51,Resorts Resource Group International
474,Los Llanos De Aridane,ES,68.0,broken clouds,28.66,-17.92,Valle Aridane
475,Puerto Baquerizo Moreno,EC,69.28,clear sky,-0.9,-89.6,Hotel los Algarrobos
477,Ahipara,NZ,68.77,few clouds,-35.17,173.17,Ahipara Holiday Park
479,Tchibanga,GA,72.23,overcast clouds,-2.85,11.03,
480,Deniliquin,AU,59.02,overcast clouds,-35.53,144.97,Riviana Motel
481,Huarmey,PE,62.92,overcast clouds,-10.07,-78.15,Hotel Miramar
482,San Vicente,AR,65.98,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
483,Haimen,CN,71.6,clear sky,23.19,116.61,Jinghao Business Hotel
485,Vila,PT,52.0,overcast clouds,42.03,-8.16,Hotel Castrum Villae
486,Kabinda,CD,68.47,overcast clouds,-6.13,24.48,Village Mianda Mutole
487,Olpad,IN,75.2,haze,21.33,72.75,IDTCATERING
488,Astoria,US,57.0,overcast clouds,46.19,-123.83,Best Western Astoria Bayfront Hotel
489,Nantucket,US,57.99,overcast clouds,41.28,-70.1,Jared Coffin House
491,Rocky Mount,US,62.6,clear sky,35.94,-77.79,Days Inn & Suites by Wyndham Rocky Mount Golden East
494,Xuzhou,CN,61.93,clear sky,34.18,117.16,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
498,Diebougou,BF,74.43,broken clouds,10.97,-3.25,Hotel Le Consulat
499,Comodoro Rivadavia,AR,57.2,clear sky,-45.87,-67.5,Austral Hotel
504,Coari,BR,74.53,moderate rain,-4.08,-63.14,HOTEL ALEX FLAT
507,Shache,CN,53.29,few clouds,38.42,77.24,Delong Hotel
508,Potiskum,NG,77.11,overcast clouds,11.71,11.07,Tamir Hotel Ltd
516,Umtata,ZA,71.6,overcast clouds,-31.59,28.78,LLZZ Boutique Lodge
518,Broome,US,64.0,few clouds,42.25,-75.83,Chenango Valley State Park
522,Zhuhai,CN,73.4,few clouds,22.28,113.57,珠海粤财假日酒店
523,Houma,US,72.0,clear sky,29.6,-90.72,Courtyard by Marriott Houma
524,Esna,EG,69.8,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
525,Sokolka,PL,54.0,light rain,53.41,23.5,Restauracja i Pokoje Gościnne Verde
529,Pascagoula,US,75.2,clear sky,30.37,-88.56,Regency Inn
534,Antalaha,MG,70.88,clear sky,-14.9,50.28,Hotel Vitasoa
535,Arlit,NE,78.22,clear sky,18.74,7.39,Hôtel Telwa Bungalow
536,Diffa,NE,79.74,few clouds,13.32,12.61,ProDAF/Diffa
537,Puerto Penasco,MX,75.0,overcast clouds,31.32,-113.53,Playa Bonita Resort
538,Nueva Loja,EC,73.11,overcast clouds,0.08,-76.88,Limoncocha Great Hotel
539,Front Royal,US,64.99,clear sky,38.92,-78.19,Hampton Inn Front Royal
540,Batemans Bay,AU,66.0,light rain,-35.72,150.18,Batemans Bay Marina Resort
541,Puerto Quijarro,BO,73.63,light rain,-17.78,-57.77,Hotel palance
544,Villa Carlos Paz,AR,69.01,light rain,-31.42,-64.5,Monte Carlo
546,Pahrump,US,64.99,broken clouds,36.21,-115.98,Best Western Pahrump Oasis
547,Novoanninskiy,RU,55.99,overcast clouds,50.53,42.67,Sotnik
548,Kiama,AU,77.0,moderate rain,-34.68,150.87,The Sebel Kiama Harbourside
549,Ibra,OM,72.99,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
551,Itarema,BR,79.14,few clouds,-2.92,-39.92,Windvillage
553,Clarence Town,AU,73.99,light intensity shower rain,-32.58,151.78,River Downs Cottage
554,Dunedin,NZ,68.0,scattered clouds,-45.87,170.5,Scenic Hotel Southern Cross
555,Asyut,EG,69.8,clear sky,27.18,31.18,Florence Hotel Assiut
557,Bilma,NE,73.54,clear sky,18.69,12.92,Expeditions Ténére voyages
558,Kismayo,SO,79.77,scattered clouds,-0.36,42.55,Agan-Hotel
559,Grand-Santi,GF,72.81,scattered clouds,4.25,-54.38,Hotel La Villa Couacou
560,Guebwiller,FR,55.0,clear sky,47.92,7.2,Le Saint-Barnabé | Hôtel et Spa Haut-Rhin
562,Laguna,US,68.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
563,Lipari,IT,64.99,broken clouds,38.47,14.95,Hotel Villa Augustus
564,Sangmelima,CM,66.78,light rain,2.93,11.98,gamestar hotel
567,Viani,CO,55.4,broken clouds,4.87,-74.56,Hotel el Cone
569,Datong,CN,50.02,clear sky,40.09,113.29,Holiday Inn Datong City Centre
570,Paita,PE,63.27,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
572,Thyboron,DK,50.0,broken clouds,56.7,8.21,Thyborøn Hotel
573,Ascope,PE,65.26,overcast clouds,-7.71,-79.11,agroindustrial casagrande
576,Varadero,CU,77.0,overcast clouds,23.15,-81.25,Hotel Tuxpan Varadero
579,Half Moon Bay,US,61.0,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
580,Kampene,CD,66.81,overcast clouds,-3.6,26.67,
583,Surt,LY,66.45,clear sky,31.21,16.59,City Hotel
588,Shimoda,JP,69.8,few clouds,34.67,138.95,Shimoda Tokyu Hotel
589,Novopokrovka,UA,53.6,light rain,49.84,36.55,Пудж дом
590,Yenagoa,NG,74.75,overcast clouds,4.92,6.26,Amba Hotels Limited
591,Owando,CG,70.72,light rain,-0.48,15.9,Exaunel Hotel Owando
592,Yancheng,CN,61.95,clear sky,33.39,120.13,Yancheng Lidu Boutique Hotel
594,Mata De Sao Joao,BR,78.8,few clouds,-12.53,-38.3,Sítio Sapiranga
596,Hun,LY,56.39,clear sky,29.13,15.95,Alrwasi Hotel
598,Pisco,PE,62.6,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
599,Conceicao Da Barra,BR,72.36,light rain,-18.59,-39.73,Cricaré Praia Hotel
600,Iquitos,PE,71.6,light rain,-3.75,-73.25,Cortez Malaga Techy Caroly
603,Primorsk,UA,61.83,overcast clouds,46.73,36.34,Relax
604,Carroll,US,62.01,clear sky,39.55,-77.02,Best Western Westminster Hotel
607,Roma,US,66.2,clear sky,43.21,-75.46,Wingate By Wyndham Rome
608,Gopalur,IN,78.94,clear sky,16.62,77.8,Dhaba- Motel
613,Perpignan,FR,57.99,clear sky,42.75,2.75,Le moulin a huile de l'agly
615,Mwinilunga,ZM,62.96,broken clouds,-11.74,24.43,Kwakuwahi Lodge
618,Necochea,AR,52.0,clear sky,-38.55,-58.74,dyd -mar Hotel
620,Grand Gaube,MU,72.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
621,Ozinki,RU,51.31,light rain,51.18,49.68,at Rest
622,Kalabo,ZM,66.7,clear sky,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
625,Murwara,IN,76.14,clear sky,23.85,80.4,HOTEL BRIJWASI ROYAL
626,Caninde,BR,76.53,broken clouds,-4.36,-39.31,Hotel Casa Grande II
627,Sao Felix Do Xingu,BR,73.54,heavy intensity rain,-6.64,-51.99,Apart Hotel Rio Xingu
628,Natal,BR,77.0,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
629,Kwakoa,TZ,66.06,scattered clouds,-3.77,37.72,MJI Mwema Lodge
631,Axim,GH,76.6,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
632,Kondoa,TZ,58.75,scattered clouds,-4.9,35.78,Kinyuma Lodge
633,Borba,BR,75.87,broken clouds,-4.39,-59.59,Hotel da Amazônia
634,Leopoldov,SK,50.0,fog,48.45,17.76,Hotel Stofing
635,Unai,BR,69.62,moderate rain,-16.36,-46.91,Hotel Regente
