City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Te Anau,NZ,-45.42,167.72,58.86,64,100,9.95,overcast clouds
300,Misratah,LY,32.38,15.09,66.76,65,0,6.58,clear sky
301,Saint-Pierre,RE,-21.34,55.48,73.4,73,40,8.05,scattered clouds
302,Praya,CV,14.92,-23.51,78.8,78,40,17.22,scattered clouds
303,Havre-Saint-Pierre,CA,50.23,-63.6,37.4,86,90,8.05,light rain
304,Kaka,TM,37.35,59.61,49.46,50,0,2.75,clear sky
305,Biloela,AU,-24.42,150.5,79.36,56,100,9.51,light rain
306,Bandarbeyla,SO,9.49,50.81,76.8,71,97,1.48,overcast clouds
307,Vila Franca Do Campo,PT,37.72,-25.43,66.2,77,40,18.34,scattered clouds
308,Tautira,PF,-17.73,-149.15,82.4,69,75,10.29,broken clouds
309,Krasnogvardeyets,RU,52.68,52.36,47.07,95,100,13.62,light rain
310,Katunino,RU,64.39,40.63,32.0,99,90,2.24,light shower snow
311,Zarubino,RU,42.63,131.09,46.42,53,7,27.29,clear sky
312,Hongjiang,CN,27.11,110.0,70.61,52,76,2.53,broken clouds
313,Natchitoches,US,31.77,-93.13,69.8,94,90,12.75,overcast clouds
314,Knysna,ZA,-34.04,23.05,64.4,100,65,2.24,broken clouds
315,Constantine,DZ,36.37,6.61,57.2,82,40,4.7,scattered clouds
316,Husavik,IS,66.04,-17.34,41.0,80,90,4.7,overcast clouds
317,Iquique,CL,-20.22,-70.14,64.4,68,90,9.17,overcast clouds
318,Porosozero,RU,62.72,32.73,27.81,98,9,8.23,clear sky
319,Mayuge,UG,0.46,33.48,62.29,94,40,4.12,scattered clouds
320,Kodiak,US,57.79,-152.41,46.4,93,90,17.22,mist
321,Panzhihua,CN,26.59,101.71,63.57,61,92,1.92,overcast clouds
322,Pevek,RU,69.7,170.31,26.35,92,18,4.54,few clouds
323,Abalak,RU,58.13,68.59,22.17,94,0,4.79,clear sky
324,Letlhakane,BW,-21.42,25.58,72.03,41,3,7.45,clear sky
325,Sao Goncalo Do Amarante,BR,-3.61,-38.97,80.01,77,57,27.0,broken clouds
326,Walvis Bay,NA,-22.96,14.51,60.01,87,2,3.36,clear sky
327,Bridlington,GB,54.08,-0.19,44.6,87,57,11.41,broken clouds
328,Azul,AR,-36.78,-59.86,56.59,97,13,6.51,few clouds
329,Stornoway,GB,58.21,-6.39,48.2,81,100,39.15,heavy intensity rain
330,Abu Dhabi,AE,24.47,54.37,75.2,78,0,3.36,clear sky
331,Thanh Hoa,VN,19.8,105.77,76.3,54,100,5.73,overcast clouds
332,Sola,VU,-13.88,167.55,80.06,81,85,18.75,light rain
333,Bukama,CD,-9.2,25.85,71.13,84,45,2.01,scattered clouds
334,Sao Joao Da Barra,BR,-21.64,-41.05,72.79,80,84,13.27,broken clouds
335,Lisieux,FR,49.17,0.17,55.4,100,90,9.17,mist
336,Burgeo,CA,47.62,-57.62,43.03,70,19,5.73,few clouds
337,Kaitangata,NZ,-46.28,169.85,68.0,54,2,3.0,clear sky
338,Reconquista,AR,-29.15,-59.65,68.31,94,86,8.66,overcast clouds
339,Antofagasta,CL,-23.65,-70.4,57.2,82,90,12.75,overcast clouds
340,Nome,US,64.5,-165.41,33.8,86,90,12.75,overcast clouds
341,Wageningen,NL,51.97,5.67,54.0,93,90,11.41,overcast clouds
342,Bagan,RU,54.1,77.66,27.19,93,96,14.74,overcast clouds
343,Havoysund,NO,71.0,24.66,35.6,93,75,33.33,broken clouds
344,Lata,PT,40.16,-8.33,54.0,89,30,1.01,scattered clouds
345,Pangnirtung,CA,66.15,-65.71,26.73,94,100,3.36,light snow
346,Sinnamary,GF,5.38,-52.95,79.81,86,37,9.26,scattered clouds
347,Pingliang,CN,35.54,106.69,53.67,53,23,14.03,few clouds
348,Ponta Delgada,PT,37.73,-25.67,66.2,77,40,18.34,scattered clouds
349,Broken Hill,AU,-31.95,141.43,57.2,76,90,24.16,overcast clouds
350,San Patricio,US,28.02,-97.52,78.8,100,40,6.93,scattered clouds
351,Ternate,ID,0.8,127.4,84.76,72,27,6.11,light rain
352,Saint-Georges,GD,12.06,-61.75,80.6,83,40,28.86,scattered clouds
353,Faanui,PF,-16.48,-151.75,79.39,68,99,5.59,overcast clouds
354,Port Augusta,AU,-32.5,137.77,62.6,67,75,24.16,broken clouds
355,Kapit,MY,2.02,112.93,79.7,74,100,1.74,overcast clouds
356,Marawi,PH,8.0,124.29,78.01,90,75,8.01,broken clouds
357,Yumaguzino,RU,52.9,56.39,38.64,94,100,12.57,overcast clouds
358,Caravelas,BR,-17.71,-39.25,72.27,92,51,6.17,broken clouds
359,Loudeac,FR,48.18,-2.75,52.0,96,100,5.01,overcast clouds
360,Burns Lake,CA,54.23,-125.75,14.61,89,0,3.69,clear sky
361,Kudahuvadhoo,MV,2.67,72.89,82.51,77,41,12.1,scattered clouds
362,Nuuk,GL,64.18,-51.72,30.2,74,53,6.93,broken clouds
